"caseid","age_a","marstat","reldlife","religion","samesex","intvwyear","lifprtnr","timesmar","attnd14","fmarit","gayadopt","lifeprt","sxok18","staytog","prvntdiv","achieve"
77575,46,4,2,3,3,2015,5,1,NA,3,NA,NA,NA,NA,NA,NA
77579,38,1,1,2,2,2017,2,1,NA,1,NA,NA,NA,NA,NA,NA
77581,44,6,1,3,4,2017,50,NA,NA,5,NA,NA,NA,NA,NA,NA
77584,19,6,2,3,1,2016,1,NA,5,5,NA,NA,NA,NA,NA,NA
77585,40,1,1,2,5,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77586,18,6,NA,1,3,2015,0,NA,5,5,NA,NA,NA,NA,NA,NA
77587,45,6,1,3,4,2016,20,NA,NA,5,NA,NA,NA,NA,NA,NA
77588,17,6,2,2,2,2016,1,NA,2,5,NA,NA,NA,NA,NA,NA
77589,35,1,1,3,2,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77591,15,6,NA,1,1,2017,0,NA,3,5,NA,NA,NA,NA,NA,NA
77594,45,5,1,3,2,2015,4,1,NA,4,NA,NA,NA,NA,NA,NA
77596,44,1,1,3,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77597,42,1,1,3,3,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77599,48,4,1,3,2,2016,20,1,NA,3,NA,NA,NA,NA,NA,NA
77601,25,2,NA,1,1,2015,10,NA,NA,5,NA,NA,NA,NA,NA,NA
77602,26,1,2,3,2,2017,6,1,NA,1,NA,NA,NA,NA,NA,NA
77603,39,1,1,4,4,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
77604,39,6,2,4,2,2016,12,NA,NA,5,NA,NA,NA,NA,NA,NA
77605,34,6,1,3,2,2017,2,NA,NA,5,NA,NA,NA,NA,NA,NA
77606,23,6,2,4,2,2016,18,NA,7,5,NA,NA,NA,NA,NA,NA
77607,39,5,1,3,2,2016,8,1,NA,4,NA,NA,NA,NA,NA,NA
77611,35,6,1,2,2,2016,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77612,44,1,1,3,2,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77613,44,2,1,3,1,2016,8,1,NA,3,NA,NA,NA,NA,NA,NA
77619,19,6,1,4,3,2016,0,NA,6,5,NA,NA,NA,NA,NA,NA
77621,22,6,1,3,4,2016,0,NA,2,5,NA,NA,NA,NA,NA,NA
77622,30,6,2,3,1,2016,5,NA,NA,5,NA,NA,NA,NA,NA,NA
77624,19,2,2,2,2,2017,1,NA,1,5,NA,NA,NA,NA,NA,NA
77625,19,6,NA,1,2,2017,0,NA,7,5,NA,NA,NA,NA,NA,NA
77626,43,1,NA,1,2,2016,15,1,NA,1,NA,NA,NA,NA,NA,NA
77627,34,1,1,2,1,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77632,35,5,3,4,1,2017,10,1,NA,4,NA,NA,NA,NA,NA,NA
77633,40,6,2,3,1,2017,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77637,29,5,2,2,2,2017,9,1,NA,4,NA,NA,NA,NA,NA,NA
77639,22,6,NA,1,2,2016,3,NA,1,5,NA,NA,NA,NA,NA,NA
77643,33,6,1,3,5,2016,7,NA,NA,5,NA,NA,NA,NA,NA,NA
77644,39,6,NA,1,1,2017,9,NA,NA,5,NA,NA,NA,NA,NA,NA
